,Np,Nt,Kp,Kt,A,lp,Rg,E2E,zd,Angle,lb,lt,sd_lp,sd_Rg,sd_zd,sd_E2E,sd_dot
94,17.0,8.0,4.0,0.25,60.0,2.918363470179797,3.1284586058414106,7.9586385744197505,5.459171418762475,1.667955648489501,0.9702058487004892,0.9711013901583593,0.09854899035687013,0.249266862632472,0.8770198404442794,2.6338737350790487,0.6287783264497235
95,17.0,8.0,8.0,0.25,60.0,5.76942456974056,3.7312685990895944,10.42796233227903,5.565114495409182,1.9131562321234894,0.970465076100706,0.9703294648784064,0.20976822965181988,0.16250100900854508,0.8523304771243563,2.3480246681664676,0.5181050079895927
96,17.0,8.0,16.0,0.25,60.0,11.602686206645842,4.188212495213195,12.574831953995973,5.51305663235529,2.238591930798188,0.9704723287463773,0.9713697855494999,0.3444441446467195,0.07299279558769393,0.7915183186013196,1.6165961874392696,0.3988152767064445
97,17.0,8.0,32.0,0.25,60.0,23.203165276515023,4.455308166027338,13.938120146247794,5.515079856886228,2.495225863153016,0.9705832382128349,0.9704893249066868,0.6315484718025903,0.0238674164590803,0.7341641735756365,0.9076049865399629,0.288939083131677
98,17.0,8.0,64.0,0.25,60.0,46.284552435297066,4.601114930269604,14.7020694333512,5.390988656686626,2.6854262428128632,0.9708813127086243,0.9720236509322623,0.9600736772468219,0.008214275004856466,0.6072106856738415,0.5084558129727778,0.20758399840601752
99,17.0,8.0,0.25,0.25,50.0,1.0659520322887723,2.2895021107361737,5.384964690387256,5.813718656886228,1.5429087269885424,0.9707011703629381,0.9709283476481939,0.04443212428260401,0.12000173893942051,0.7663239254507743,1.7682014087665912,0.6196558037191121
100,17.0,8.0,0.5,0.25,50.0,1.104910116154133,2.3073098265324576,5.414636711807735,5.861742539560878,1.564677490910447,0.9708899127488626,0.9704210985197209,0.02884276834916409,0.12185084910581223,0.7674593269517953,1.8065230501203635,0.6289573597641076
101,17.0,8.0,1.0,0.25,50.0,1.3462887402043922,2.431413417502396,5.730868796710677,5.965233808323354,1.515520455666808,0.9710360905713968,0.9706915405680158,0.040287630956099475,0.14112670989596482,0.7813423424435023,1.9424991149964004,0.6286367303942932
102,17.0,8.0,2.0,0.25,50.0,1.788598306637819,2.6287627377002742,6.179847132336376,6.044693695249501,1.4828295334439285,0.9702470200515999,0.971156663489191,0.08346496953810899,0.18015263977406484,0.870451444591653,2.1360180131597932,0.6233613603259606
103,17.0,8.0,4.0,0.25,50.0,2.6931233056994515,3.0115949418058565,7.357308413236407,6.2203892365668665,1.4867743323063565,0.9708152103328085,0.9706182849493442,0.18037091561796773,0.22400301542373954,0.7997105872950188,2.431219961822201,0.5611720534060007
104,17.0,8.0,8.0,0.25,50.0,4.568603359149058,3.5455139693163154,9.253986878943985,6.388225600598803,1.6557940212122042,0.9696214940232093,0.9712306015321097,0.39450391943082297,0.16712779389707766,0.7747656855245416,2.3961314333421004,0.48949902154461483
105,17.0,8.0,16.0,0.25,50.0,8.62509692482272,4.039676753082793,11.63180506740745,6.312381950219561,1.9926119834757225,0.9696746521863626,0.9712375842121025,0.6254306338011442,0.08357248558465345,0.7086906117405092,1.7709806693368415,0.369729539750338
106,17.0,8.0,32.0,0.25,50.0,16.783215248509048,4.363288712815306,13.35829838418875,6.30685223263473,2.2983721977861116,0.9700797739379768,0.9719335035040723,0.9693949175146392,0.02413108148925224,0.6268970663071037,0.929768189786681,0.24597981154088686
